1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
1023,342,1035,231,192,284,516,0.3304,2.9912,1.01173,1.20313,0.55039,68.375,39,11.125,46.2,38.4,64.5,0
1208,633,559,316,295,516,284,1.1324,1.9084,0.46275,1.07119,1.81690,45.625,75.75,24.75,63.2,59,35.5,0
956,760,684,410,192,418,382,1.1111,1.2579,0.71548,2.13542,1.09424,41.875,56.375,36.875,82,38.4,47.75,0
1120,800,480,275,465,590,210,1.6667,1.4000,0.42857,0.59140,2.80952,42.5,82.5,42.5,55,93,26.25,0
863,965,572,230,235,405,395,1.6871,0.8943,0.66280,0.97872,1.02532,30.125,58.625,50.75,46,47,49.375,0
795,694,911,196,323,397,403,0.7618,1.1455,1.14591,0.60681,0.98511,56,42.125,42.75,39.2,64.6,50.375,0
1101,630,669,327,267,190,610,0.9417,1.7476,0.60763,1.22472,0.31148,48.5,64.875,27.25,65.4,53.4,76.25,0
916,663,821,249,385,507,293,0.8076,1.3816,0.89629,0.64675,1.73038,65,62.375,47.875,49.8,77,36.625,0
1036,594,770,207,375,663,137,0.7714,1.7441,0.74324,0.55200,4.83942,55.625,59.375,29.875,41.4,75,17.125,0
1189,551,660,218,276,232,568,0.8348,2.1579,0.55509,0.78986,0.40845,46.375,63.875,15.25,43.6,55.2,71,0
962,934,504,391,231,506,294,1.8532,1.0300,0.52391,1.69264,1.72109,41.875,78.875,58.625,78.2,32.8,36.75,0
1267,451,682,224,115,359,441,0.6613,2.8093,0.53828,1.94783,0.81406,63.875,78.625,20.25,44.8,23,55.125,0
1397,605,398,297,241,350,450,1.5201,2.3091,0.28490,1.23237,0.77778,33.375,83.625,9,59.4,48.2,56.25,0
567,1326,507,425,269,675,125,2.6154,0.4276,0.89418,1.57993,5.40000,13.75,50.375,79.5,85,53.8,15.625,0
865,913,622,341,294,541,259,1.4678,0.9474,0.71908,1.15986,2.08880,36.625,58.875,50.75,68.2,58.8,32.375,0
681,990,729,481,272,692,108,1.3580,0.6879,1.07048,1.76838,6.40741,27.625,36.5,51.375,96.2,54.4,13.5,0
673,827,900,226,384,404,396,0.9189,0.8138,1.33730,0.58854,1.02020,48.375,35.875,51.75,45.2,76.8,49.5,0
1181,390,829,351,310,166,634,0.4704,3.0282,0.70195,1.13226,0.26183,74.5,70.875,23.25,70.2,62,79.25,0
817,710,873,283,109,204,596,0.8133,1.1507,1.06854,2.59633,0.34228,37.875,28.75,26.625,56.6,21.8,74.5,0
1060,652,688,188,150,456,344,0.9477,1.6258,0.64906,1.25333,1.32558,44.625,58.625,26.125,37.6,30,43,0
633,581,1186,320,183,148,652,0.4899,1.0895,1.87362,1.74863,0.22699,70.75,22.5,43.375,64,36.6,81.5,0
1224,362,814,210,287,411,389,0.4447,3.3812,0.66503,0.73171,1.05656,71.75,70,17,42,57.4,48.625,0
1096,736,568,217,303,628,172,1.2958,1.4891,0.51825,0.71617,3.65116,40.25,69.25,32.25,43.4,60.6,21.5,0
1303,360,737,158,322,269,531,0.4885,3.6194,0.56562,0.49068,0.50659,64.625,72.5,9.625,31.6,64.4,66.375,0
1126,564,710,235,283,559,241,0.7944,1.9965,0.63055,0.83039,2.31950,57.375,68.625,27.875,47,56.6,30.125,0
1379,393,628,481,278,77,723,0.6258,3.5089,0.45540,1.73022,0.10650,50.875,72.375,0,96.2,55.6,90.375,0
1213,108,1079,313,426,100,700,0.1001,11.2315,0.88953,0.73474,0.14286,93.875,59,7.375,62.6,85.2,87.5,0
876,882,642,266,410,362,438,1.3738,0.9932,0.73288,0.64878,0.82648,32.125,51.875,42.375,53.2,82,54.75,0
1092,1083,225,500,305,323,477,4.8133,1.0083,0.20604,1.63934,0.67715,12.375,84.25,47.75,100,61,59.625,0
579,1030,791,272,131,722,78,1.3021,0.5621,1.36615,2.07634,9.25641,34.625,35.75,63.375,54.4,26.2,9.75,0
1278,884,238,184,282,730,70,3.7143,1.4457,0.18623,0.65248,10.42857,13.25,83.5,23.75,36.8,56.4,8.75,0
827,543,1030,388,206,285,515,0.5272,1.5230,1.24547,1.88350,0.55340,62.125,33.375,30,77.6,41.2,64.375,0
1204,372,824,415,136,295,505,0.4515,3.2366,0.68439,3.05147,0.58416,62.25,59.25,8.75,83,27.2,63.125,0
1176,63,1161,248,263,219,581,0.0543,18.6667,0.98724,0.94297,0.37694,92.125,47,0,49.6,52.6,72.625,0
